words,answer,commonness,familiar,recognized
llano,0,0.283,0.86,0.28
loach,0,0.363,1.04,0.38
loamy,1,0.485,1.26,0.55
loath,1,0.712,1.75,0.84
loave,0,0.433,1.07,0.51
lobal,0,0.92,2.64,0.96
lobar,0,0.282,0.79,0.3
lobby,1,0.885,2.43,0.96
lobed,0,0.49,1.23,0.57
local,1,0.987,2.98,0.98
lochy,0,0.265,0.75,0.28
locky,0,0.288,0.74,0.33
locum,0,0.168,0.47,0.18
locus,1,0.373,1.01,0.41
lodge,1,0.818,2.09,0.94
loess,0,0.133,0.29,0.17
lofty,1,0.713,1.76,0.84
logia,0,0.17,0.27,0.25
logic,1,0.952,2.77,0.98
logie,0,0.19,0.39,0.25
login,1,0.972,2.89,0.98
logoi,0,0.122,0.19,0.18
logos,0,0.478,1.25,0.54
lohan,0,0.243,0.68,0.26
lokao,0,0.08,0.15,0.11
loket,0,0.085,0.18,0.11
lolly,0,0.91,2.58,0.96
longa,0,0.135,0.24,0.19
longe,0,0.395,1.02,0.45
longs,0,0.752,2.02,0.83
looby,0,0.278,0.71,0.32
loony,0,0.8,2.01,0.93
loopy,1,0.767,1.99,0.87
loose,1,0.982,2.95,0.98
loper,0,0.433,1.22,0.46
loppy,0,0.34,0.9,0.38
loral,0,0.178,0.38,0.23
loran,0,0.097,0.13,0.15
lordy,0,0.662,1.51,0.82
lored,0,0.255,0.66,0.29
loric,0,0.093,0.17,0.13
loris,0,0.32,0.9,0.34
lorry,1,0.78,2.07,0.87
lorum,0,0.34,0.81,0.41
losel,0,0.147,0.25,0.21
loser,1,0.94,2.7,0.98
lotic,0,0.075,0.09,0.12
lotto,0,0.743,1.88,0.86
lotus,0,0.732,1.72,0.89
louch,0,0.177,0.34,0.24
louey,0,0.223,0.41,0.31
lough,0,0.47,1.2,0.54
loulu,0,0.058,0.08,0.09
loupe,0,0.313,0.95,0.31
louse,1,0.788,1.94,0.93
lousy,1,0.737,1.78,0.88
louty,0,0.208,0.44,0.27
lover,1,0.955,2.79,0.98
lowan,0,0.135,0.27,0.18
lower,1,0.987,2.98,0.98
lowly,1,0.752,1.84,0.89
lowth,0,0.182,0.4,0.23
loxia,0,0.068,0.08,0.11
loxic,0,0.083,0.14,0.12
loyal,1,0.922,2.62,0.97
lubra,0,0.222,0.55,0.26
lucet,0,0.122,0.19,0.18
lucid,1,0.75,1.92,0.86
lucky,1,0.98,2.94,0.98
lucre,0,0.442,1.12,0.51
luger,0,0.375,1.05,0.4
lulab,0,0.09,0.18,0.12
lumen,1,0.465,1.35,0.48
lummy,0,0.143,0.32,0.18
lumpy,1,0.802,2.05,0.92
lunar,1,0.7,1.68,0.84
lunch,1,0.995,3.0,0.99
lunes,0,0.443,1.19,0.49
lunge,1,0.818,2.09,0.94
lungi,0,0.42,1.41,0.37
lungy,0,0.58,1.38,0.7
lupis,0,0.083,0.11,0.13
lupus,1,0.597,1.51,0.69
lural,0,0.102,0.19,0.14
lurch,1,0.74,1.89,0.85
lurer,0,0.642,1.66,0.73
lurid,1,0.535,1.35,0.62
lurky,0,0.38,0.84,0.48
lurry,0,0.278,0.56,0.37
lushy,0,0.657,1.6,0.78
lusky,0,0.138,0.23,0.2
lusty,1,0.72,1.8,0.84
luteo,0,0.078,0.11,0.12
luter,0,0.293,0.56,0.4
luxus,0,0.32,0.75,0.39
lyard,0,0.242,0.58,0.29
lycid,0,0.067,0.1,0.1
lyery,0,0.083,0.14,0.12
lying,1,0.985,2.97,0.98
lymph,1,0.585,1.53,0.66
lynch,0,0.745,1.86,0.87
lyric,1,0.842,2.2,0.95
lysin,0,0.297,0.82,0.32
lysis,0,0.182,0.43,0.22
lyssa,0,0.118,0.23,0.16
lytic,0,0.267,0.79,0.27
lytta,0,0.083,0.11,0.13
macan,0,0.247,0.79,0.23
macao,0,0.478,1.28,0.53
macaw,1,0.663,1.52,0.82
macco,0,0.215,0.51,0.26
macer,0,0.253,0.8,0.24
machi,0,0.22,0.54,0.26
macho,1,0.77,2.04,0.86
macle,0,0.14,0.27,0.19
macro,1,0.752,1.96,0.85
madam,1,0.828,2.06,0.97
madid,0,0.085,0.15,0.12
madly,1,0.838,2.21,0.94
mafia,1,0.845,2.19,0.96
mafic,0,0.11,0.18,0.16
mafoo,0,0.087,0.19,0.11
magas,0,0.18,0.42,0.22
magic,1,0.96,2.79,0.99
magma,1,0.575,1.35,0.7
magot,0,0.287,0.79,0.31
mahar,0,0.212,0.55,0.24
mahoe,0,0.095,0.21,0.12
mahua,0,0.047,0.07,0.07
maidy,0,0.258,0.56,0.33
maiid,0,0.117,0.31,0.13
mains,0,0.833,2.42,0.86
maint,0,0.525,1.5,0.55
maire,0,0.312,0.94,0.31
maize,1,0.698,1.7,0.83
major,1,0.98,2.94,0.98
maker,1,0.953,2.81,0.97
makuk,0,0.072,0.1,0.11
malar,0,0.223,0.5,0.28
malax,0,0.068,0.11,0.1
maleo,0,0.128,0.29,0.16
malic,0,0.352,0.76,0.45
malik,0,0.325,0.87,0.36
malmy,0,0.08,0.12,0.12
malty,0,0.645,1.62,0.75
mamba,0,0.625,1.53,0.74
mambo,1,0.667,1.66,0.78
mamma,1,0.71,1.74,0.84
mammy,1,0.752,1.75,0.92
manal,0,0.135,0.3,0.17
manas,0,0.16,0.33,0.21
maned,0,0.523,1.37,0.59
manei,0,0.175,0.42,0.21
manes,0,0.712,1.78,0.83
maney,0,0.43,1.23,0.45
manga,1,0.69,1.77,0.79
mange,1,0.62,1.41,0.77
mangi,0,0.157,0.37,0.19
mango,1,0.852,2.2,0.97
mangy,1,0.543,1.34,0.64
mania,1,0.793,2.0,0.92
manic,1,0.765,1.95,0.88
manid,0,0.087,0.13,0.13
maniu,0,0.107,0.22,0.14
manly,1,0.842,2.17,0.96
manna,0,0.568,1.28,0.71
manny,0,0.773,1.97,0.89
manoc,0,0.103,0.2,0.14
manor,1,0.69,1.65,0.83
manse,0,0.228,0.71,0.22
manso,0,0.117,0.22,0.16
manta,0,0.533,1.37,0.61
manto,0,0.248,0.74,0.25
manul,0,0.187,0.43,0.23
manus,0,0.257,0.58,0.32
mapau,0,0.072,0.16,0.09
maple,1,0.895,2.46,0.97
mappy,0,0.27,0.72,0.3
maqui,0,0.105,0.24,0.13
marae,0,0.093,0.2,0.12
maral,0,0.113,0.26,0.14
march,1,0.968,2.87,0.98
marco,0,0.673,1.58,0.82
mardy,0,0.387,0.94,0.46
marge,0,0.755,1.92,0.87
maria,0,0.883,2.42,0.96
marid,0,0.123,0.29,0.15
maris,0,0.323,0.77,0.39
marka,0,0.17,0.45,0.19
marli,0,0.198,0.53,0.22
marly,0,0.343,1.01,0.35
marok,0,0.115,0.21,0.16
marry,1,0.975,2.88,0.99
marsh,1,0.782,1.93,0.92
masha,0,0.372,1.03,0.4
mashy,0,0.657,1.78,0.72
mason,1,0.865,2.31,0.96
massa,0,0.352,0.94,0.39
masse,1,0.768,2.03,0.86
massy,0,0.462,1.15,0.54
masty,0,0.182,0.37,0.24
matai,0,0.093,0.2,0.12
matax,0,0.055,0.06,0.09
match,1,0.987,2.98,0.98
mater,0,0.405,1.11,0.44
matey,1,0.603,1.49,0.71
matin,0,0.242,0.61,0.28
matka,0,0.095,0.15,0.14
matra,0,0.188,0.47,0.22
matsu,0,0.203,0.5,0.24
matta,0,0.542,1.63,0.54
matte,0,0.81,2.1,0.92
matti,0,0.288,0.86,0.29
matzo,0,0.42,1.17,0.45
maugh,0,0.26,0.75,0.27
maund,0,0.195,0.48,0.23
mauve,1,0.583,1.43,0.69
mavis,0,0.407,1.0,0.48
mawky,0,0.13,0.27,0.17
maxim,1,0.657,1.63,0.77
maybe,1,0.993,2.99,0.99
maynt,0,0.112,0.22,0.15
mayor,1,0.907,2.53,0.97
mazed,0,0.708,1.73,0.84
mazer,0,0.247,0.7,0.26
mazic,0,0.312,0.73,0.38
mazut,0,0.053,0.05,0.09
mbori,0,0.045,0.06,0.07
mealy,1,0.705,1.8,0.81
meant,1,0.972,2.92,0.97
mease,0,0.15,0.21,0.23
meaty,1,0.87,2.37,0.95
mecca,1,0.767,1.87,0.91
mecon,0,0.088,0.14,0.13
medal,1,0.875,2.34,0.97
media,1,0.967,2.89,0.97
medic,1,0.797,1.99,0.93
medio,0,0.308,0.86,0.33
meece,0,0.167,0.34,0.22
meese,0,0.365,0.93,0.42
meile,0,0.303,0.95,0.29
meith,0,0.148,0.35,0.18
melam,0,0.147,0.31,0.19
melch,0,0.128,0.23,0.18
melee,1,0.572,1.42,0.67
melic,0,0.115,0.21,0.16
meloe,0,0.197,0.43,0.25
melon,1,0.903,2.51,0.97
melos,0,0.092,0.13,0.14
mends,0,0.865,2.4,0.93
mensa,0,0.445,1.23,0.48
mense,0,0.255,0.54,0.33
mensk,0,0.432,1.15,0.48
merch,0,0.768,2.18,0.81
mercy,1,0.86,2.25,0.97
merel,0,0.162,0.43,0.18
merge,1,0.898,2.51,0.96
mergh,0,0.063,0.11,0.09
meril,0,0.135,0.3,0.17
merit,1,0.827,2.11,0.95
merle,0,0.45,1.2,0.5
merop,0,0.072,0.13,0.1
meros,0,0.113,0.2,0.16
merry,1,0.917,2.56,0.98
merse,0,0.3,0.75,0.35
mesad,0,0.148,0.41,0.16
mesal,0,0.367,1.09,0.37
mesem,0,0.077,0.16,0.1
meshy,0,0.34,0.96,0.36
mesic,0,0.11,0.24,0.14
mesne,0,0.063,0.08,0.1
meson,0,0.318,0.71,0.4
messe,0,0.355,1.05,0.36
messy,0,0.98,2.94,0.98
metad,0,0.183,0.38,0.24
metal,1,0.992,2.98,0.99
metel,0,0.17,0.33,0.23
meter,1,0.952,2.8,0.97
metic,0,0.262,0.64,0.31
metis,0,0.252,0.7,0.27
metra,0,0.427,1.21,0.45
metro,1,0.895,2.52,0.95
metze,0,0.068,0.08,0.11
meuse,0,0.117,0.22,0.16
meute,0,0.083,0.17,0.11
mewer,0,0.377,1.09,0.39
mezzo,0,0.358,1.04,0.37
miaow,0,0.73,1.92,0.82
miasm,0,0.142,0.37,0.16
miaul,0,0.595,1.56,0.67
miche,0,0.277,0.7,0.32
micht,0,0.173,0.41,0.21
micro,1,0.783,2.12,0.86
middy,0,0.347,0.94,0.38
midge,1,0.393,1.16,0.4
midgy,0,0.335,0.87,0.38
midst,1,0.788,2.03,0.9
miffy,0,0.542,1.21,0.68
might,1,0.972,2.89,0.98
mikie,0,0.372,0.88,0.45
milch,0,0.095,0.12,0.15
miler,0,0.753,2.0,0.84
milha,0,0.152,0.4,0.17
milky,1,0.957,2.8,0.98
milla,0,0.518,1.58,0.51
mille,0,0.295,0.75,0.34
milpa,0,0.133,0.41,0.13
milty,0,0.328,0.71,0.42
mimeo,0,0.187,0.55,0.19
mimer,0,0.183,0.38,0.24
mimic,1,0.815,2.07,0.94
mimly,0,0.053,0.08,0.08
minar,0,0.198,0.59,0.2
mince,1,0.872,2.44,0.93
miner,1,0.835,2.13,0.96
mines,0,0.912,2.59,0.96
minge,0,0.162,0.34,0.21
mingy,0,0.388,1.07,0.42
minim,1,0.288,0.62,0.37
minny,0,0.315,0.72,0.39
minor,1,0.932,2.68,0.97
minot,0,0.452,1.18,0.51
minty,1,0.818,2.18,0.91
minus,1,0.978,2.96,0.97
miqra,0,0.048,0.05,0.08
mirid,0,0.067,0.07,0.11
mirth,1,0.475,1.17,0.56
mirza,0,0.212,0.61,0.22
misdo,0,0.112,0.25,0.14
miser,1,0.788,1.97,0.92
misgo,0,0.117,0.25,0.15
misky,0,0.15,0.36,0.18
missy,1,0.758,1.91,0.88
misty,0,0.855,2.25,0.96
miter,0,0.518,1.22,0.63
mitis,0,0.102,0.19,0.14
mitra,0,0.213,0.65,0.21
mitre,0,0.438,1.13,0.5
mitty,0,0.4,1.11,0.43
mixed,0,0.987,2.98,0.98
mixen,0,0.178,0.32,0.25
mixer,0,0.938,2.72,0.97
mizzy,0,0.37,0.87,0.45
mneme,0,0.108,0.17,0.16
mobby,0,0.55,1.5,0.6
mobed,0,0.198,0.47,0.24
moble,0,0.227,0.61,0.25
mocha,1,0.862,2.32,0.95
modal,1,0.62,1.5,0.74
model,1,0.965,2.85,0.98
modem,1,0.648,1.61,0.76
moggy,0,0.593,1.55,0.67
mogul,1,0.722,1.81,0.84
mohar,0,0.068,0.08,0.11
mohel,0,0.097,0.22,0.12
mohur,0,0.088,0.11,0.14
moire,0,0.223,0.65,0.23
moise,0,0.312,0.67,0.4
moist,1,0.908,2.54,0.97
moity,0,0.177,0.34,0.24
mokum,0,0.072,0.1,0.11
molal,0,0.183,0.47,0.21
molar,1,0.793,2.0,0.92
moldy,1,0.853,2.3,0.94
moler,0,0.177,0.55,0.17
molka,0,0.088,0.17,0.12
molle,0,0.245,0.6,0.29
molly,0,0.867,2.32,0.96
molpe,0,0.103,0.2,0.14
momme,0,0.142,0.31,0.18
mommy,0,0.927,2.62,0.98
monad,0,0.182,0.46,0.21
monal,0,0.2,0.48,0.24
monas,0,0.135,0.24,0.19
monel,0,0.095,0.09,0.16
moner,0,0.15,0.39,0.17
money,1,0.995,3.0,0.99
monny,0,0.205,0.45,0.26
monte,0,0.592,1.54,0.67
month,1,0.993,2.99,0.99
mooch,0,0.662,1.81,0.72
moody,1,0.93,2.7,0.96
mools,0,0.288,0.74,0.33
moony,0,0.328,0.8,0.39
moorn,0,0.297,0.58,0.4
moors,0,0.632,1.54,0.75
moory,0,0.16,0.27,0.23
moosa,0,0.147,0.25,0.21
moose,1,0.815,1.98,0.97
moost,0,0.175,0.3,0.25
mooth,0,0.19,0.54,0.2
moper,0,0.432,1.24,0.45
mopla,0,0.055,0.09,0.08
moppy,0,0.407,1.15,0.43
mopsy,0,0.292,0.79,0.32
mopus,0,0.115,0.27,0.14
moral,1,0.968,2.87,0.98
morat,0,0.15,0.33,0.19
moray,0,0.378,1.04,0.41
morel,0,0.398,1.07,0.44
mores,0,0.353,0.95,0.39
morga,0,0.187,0.37,0.25
moric,0,0.102,0.19,0.14
morin,0,0.108,0.2,0.15
mormo,0,0.132,0.31,0.16
morne,0,0.218,0.59,0.24
moroc,0,0.208,0.44,0.27
moron,1,0.81,2.04,0.94
morph,1,0.747,1.9,0.86
morse,0,0.733,1.76,0.88
morth,0,0.145,0.33,0.18
mosey,0,0.447,1.03,0.55
mossy,1,0.805,2.04,0.93
moste,0,0.215,0.54,0.25
moted,0,0.208,0.5,0.25
motel,1,0.845,2.19,0.96
moter,0,0.207,0.43,0.27
motet,0,0.212,0.61,0.22
motey,0,0.205,0.33,0.3
mothy,0,0.34,0.84,0.4
motif,1,0.645,1.59,0.76
motor,1,0.98,2.94,0.98
motte,0,0.295,0.69,0.36
motto,1,0.798,2.0,0.93
moudy,0,0.177,0.4,0.22
mould,0,0.795,2.04,0.91
moule,0,0.41,1.17,0.43
mouls,0,0.58,1.41,0.69
moult,1,0.31,0.78,0.36
mouly,0,0.343,0.89,0.39
mound,1,0.812,2.02,0.95
mount,1,0.975,2.91,0.98
mourn,1,0.832,2.11,0.96
mouse,1,0.993,2.99,0.99
mousy,0,0.712,1.75,0.84
mouth,1,0.995,3.0,0.99
mover,1,0.888,2.51,0.94
movie,1,0.993,2.99,0.99
mowch,0,0.185,0.42,0.23
mower,1,0.85,2.25,0.95
mowha,0,0.085,0.18,0.11
mowie,0,0.165,0.39,0.2
mowra,0,0.097,0.25,0.11
mowse,0,0.327,0.76,0.4
mowth,0,0.14,0.3,0.18
moyen,0,0.19,0.45,0.23
moyle,0,0.215,0.54,0.25
mpret,0,0.073,0.17,0.09
muang,0,0.078,0.11,0.12
mucic,0,0.08,0.12,0.12
mucid,0,0.202,0.64,0.19
mucin,0,0.148,0.41,0.16
mucky,1,0.74,1.92,0.84
mucor,0,0.045,0.03,0.08
mucro,0,0.07,0.09,0.11
mucus,1,0.833,2.27,0.91
mudar,0,0.113,0.35,0.11
mudde,0,0.13,0.3,0.16
muddy,1,0.958,2.84,0.97
mudee,0,0.112,0.22,0.15
mudir,0,0.063,0.11,0.09
mudra,0,0.228,0.83,0.18
muffy,0,0.628,1.61,0.72
mufti,0,0.275,0.9,0.25
mufty,0,0.283,0.86,0.28
muggy,0,0.87,2.4,0.94
muist,0,0.157,0.4,0.18
mukti,0,0.065,0.09,0.1
mulch,1,0.668,1.76,0.75
mulct,0,0.222,0.73,0.2
muley,0,0.495,1.29,0.56
mulga,0,0.08,0.15,0.11
mulla,0,0.328,0.98,0.33
mulse,0,0.082,0.13,0.12
mummy,1,0.825,2.04,0.97
mumps,0,0.773,1.88,0.92
munch,1,0.857,2.35,0.93
munga,0,0.147,0.34,0.18
munge,0,0.36,1.11,0.35
mungo,0,0.335,0.99,0.34
mungy,0,0.273,0.68,0.32
mural,1,0.738,1.85,0.86
murex,0,0.163,0.41,0.19
murga,0,0.092,0.16,0.13
murid,0,0.08,0.18,0.1
murky,1,0.7,1.83,0.79
murly,0,0.137,0.22,0.2
murra,0,0.13,0.27,0.17
murre,0,0.198,0.53,0.22
murva,0,0.05,0.06,0.08
murza,0,0.082,0.13,0.12
musal,0,0.145,0.3,0.19
musar,0,0.078,0.14,0.11
mused,0,0.69,1.74,0.8
muser,0,0.205,0.57,0.22
musha,0,0.118,0.26,0.15
mushy,1,0.858,2.3,0.95
music,1,0.995,3.0,0.99
musie,0,0.152,0.34,0.19
musky,1,0.437,1.15,0.49
mussy,0,0.497,1.33,0.55
musty,1,0.745,1.89,0.86
mutch,0,0.212,0.4,0.29
mutic,0,0.085,0.12,0.13
muzzy,0,0.487,1.39,0.51
myall,0,0.112,0.19,0.16
myoid,0,0.052,0.04,0.09
myoma,0,0.117,0.25,0.15
myope,0,0.347,0.97,0.37
myops,0,0.043,0.05,0.07
myopy,0,0.335,0.96,0.35
myron,0,0.337,0.85,0.39
myrrh,1,0.323,1.01,0.31
mysel,0,0.137,0.31,0.17
mysid,0,0.043,0.02,0.08
nabak,0,0.082,0.16,0.11
nabla,0,0.09,0.09,0.15
nable,0,0.502,1.39,0.54
nabob,0,0.31,0.9,0.32
nacre,0,0.255,0.78,0.25
nacry,0,0.078,0.11,0.12
nadir,1,0.343,1.04,0.34
naggy,0,0.775,2.1,0.85
naght,0,0.165,0.24,0.25
nagor,0,0.075,0.15,0.1
naiad,0,0.288,0.89,0.28
naily,0,0.113,0.26,0.14
nairy,0,0.192,0.37,0.26
naish,0,0.092,0.22,0.11
naive,1,0.825,2.1,0.95
naked,0,0.948,2.72,0.99
naker,0,0.158,0.26,0.23
nakoo,0,0.068,0.17,0.08
namaz,0,0.247,0.79,0.23
namda,0,0.075,0.15,0.1
namer,0,0.565,1.5,0.63
nancy,0,0.865,2.28,0.97
nandi,0,0.198,0.71,0.16
nandu,0,0.145,0.42,0.15
nanes,0,0.203,0.5,0.24
nanga,0,0.117,0.28,0.14
nanny,1,0.865,2.28,0.97
napal,0,0.438,1.04,0.53
napoo,0,0.185,0.45,0.22
nappe,0,0.24,0.6,0.28
nappy,0,0.803,2.21,0.87
nares,0,0.155,0.33,0.2
naric,0,0.067,0.07,0.11
narky,0,0.325,0.81,0.38
narra,0,0.097,0.19,0.13
nasab,0,0.303,0.8,0.34
nasal,1,0.803,2.06,0.92
nasch,0,0.098,0.17,0.14
nasty,1,0.973,2.9,0.98
nasus,0,0.098,0.17,0.14
natal,1,0.535,1.41,0.6
natch,0,0.525,1.29,0.62
nates,0,0.337,0.94,0.36
nathe,0,0.112,0.22,0.15
natty,0,0.565,1.5,0.63
naumk,0,0.047,0.04,0.08
naunt,0,0.117,0.13,0.19
naval,1,0.82,2.1,0.94
navar,0,0.187,0.49,0.21
navel,1,0.865,2.28,0.97
navet,0,0.173,0.5,0.18
navew,0,0.222,0.49,0.28
navvy,0,0.715,1.83,0.82
nawab,0,0.385,1.11,0.4
nazim,0,0.108,0.2,0.15
nazir,0,0.11,0.24,0.14
neath,0,0.393,0.89,0.49
nebby,0,0.365,0.87,0.44
nebel,0,0.187,0.43,0.23
neddy,0,0.41,1.02,0.48
needs,0,0.98,2.94,0.98
needy,1,0.895,2.49,0.96
neeld,0,0.16,0.33,0.21
neele,0,0.175,0.33,0.24
neese,0,0.26,0.48,0.36
neeze,0,0.573,1.37,0.69
neffy,0,0.222,0.52,0.27
neger,0,0.345,1.08,0.33
negro,0,0.803,1.97,0.95
negus,0,0.208,0.62,0.21
neigh,1,0.802,2.02,0.93
neist,0,0.115,0.21,0.16
nenta,0,0.078,0.14,0.11
neoza,0,0.055,0.06,0.09
neper,0,0.092,0.13,0.14
nerdy,1,0.847,2.26,0.94
nerve,1,0.983,2.96,0.98
nervy,0,0.8,2.13,0.89
nesty,0,0.232,0.52,0.29
neter,0,0.202,0.4,0.27
netop,0,0.077,0.1,0.12
netty,0,0.515,1.41,0.56
neuma,0,0.052,0.04,0.09
neume,0,0.057,0.04,0.1
nevel,0,0.268,0.65,0.32
never,1,0.995,3.0,0.99
nevoy,0,0.128,0.29,0.16
nevus,0,0.21,0.63,0.21
newel,0,0.308,0.92,0.31
newer,1,0.93,2.7,0.96
newly,1,0.918,2.63,0.96
newsy,0,0.428,1.22,0.45
nexal,0,0.065,0.09,0.1
nexum,0,0.057,0.07,0.09
nexus,0,0.58,1.56,0.64
ngaio,0,0.082,0.13,0.12
ngapi,0,0.042,0.04,0.07
niata,0,0.067,0.13,0.09
nibby,0,0.428,1.22,0.45
nicer,1,0.912,2.59,0.96
niche,1,0.718,1.88,0.81
nicky,0,0.817,2.14,0.92
nidal,0,0.113,0.2,0.16
nidge,0,0.233,0.5,0.3
nidor,0,0.18,0.39,0.23
nidus,0,0.138,0.38,0.15
niece,1,0.907,2.5,0.98
niepa,0,0.042,0.04,0.07
nieve,0,0.2,0.42,0.26
nific,0,0.078,0.14,0.11
nifle,0,0.12,0.21,0.17
nifty,0,0.713,1.88,0.8
night,1,0.995,3.0,0.99
nigre,0,0.127,0.16,0.2
nigua,0,0.075,0.12,0.11
nikau,0,0.052,0.07,0.08
nimbi,0,0.168,0.35,0.22
ninja,1,0.828,2.09,0.96
ninny,1,0.573,1.31,0.71
ninon,0,0.19,0.42,0.24
ninth,1,0.868,2.33,0.96
nintu,0,0.038,0.02,0.07
ninut,0,0.073,0.14,0.1
niota,0,0.142,0.31,0.18
nippy,0,0.647,1.69,0.73
nisei,0,0.132,0.49,0.1
nisse,0,0.16,0.36,0.2
nisus,0,0.175,0.45,0.2
nitch,0,0.573,1.34,0.7
niter,0,0.19,0.3,0.28
nitid,0,0.135,0.36,0.15
niton,0,0.258,0.59,0.32
nitro,0,0.757,1.96,0.86
nitty,0,0.665,1.68,0.77
nival,0,0.17,0.39,0.21
nixie,0,0.235,0.54,0.29
nizam,0,0.292,0.85,0.3
njave,0,0.068,0.14,0.09
nobby,0,0.562,1.39,0.66
noble,1,0.845,2.16,0.97
nobly,1,0.76,1.89,0.89
nodal,0,0.327,0.88,0.36
noddy,0,0.66,1.62,0.78
noded,0,0.397,0.94,0.48
nodus,0,0.132,0.25,0.18
nogal,0,0.102,0.19,0.14
nohow,0,0.353,0.77,0.45
noily,0,0.093,0.17,0.13
noint,0,0.078,0.11,0.12
noise,1,0.99,3.0,0.98
noisy,1,0.987,2.98,0.98
nokta,0,0.085,0.15,0.12
nolle,0,0.18,0.42,0.22
nomad,1,0.742,1.9,0.85
nomic,0,0.108,0.2,0.15
nomos,0,0.097,0.16,0.14
nonce,0,0.37,0.87,0.45
nonda,0,0.195,0.54,0.21
nondo,0,0.122,0.28,0.15
nones,0,0.562,1.51,0.62
nonet,0,0.302,0.88,0.31
nonic,0,0.127,0.28,0.16
nonly,0,0.08,0.12,0.12
nonya,0,0.128,0.23,0.18
nonyl,0,0.128,0.23,0.18
nooky,0,0.525,1.32,0.61
noose,1,0.725,1.74,0.87
nopal,0,0.17,0.6,0.14
noria,0,0.327,1.0,0.32
norie,0,0.357,1.12,0.34
norma,0,0.717,2.14,0.72
north,1,0.993,2.99,0.99
nosed,0,0.86,2.34,0.94
noser,0,0.213,0.5,0.26
nosey,1,0.807,2.08,0.92
notal,0,0.34,0.69,0.45
notan,0,0.117,0.19,0.17
notch,1,0.825,2.16,0.93
noted,0,0.957,2.8,0.98
noter,0,0.562,1.39,0.66
notum,0,0.067,0.1,0.1
novel,1,0.873,2.3,0.98
novem,0,0.178,0.35,0.24
noway,0,0.67,1.77,0.75
nowed,0,0.173,0.32,0.24
nowel,0,0.307,0.67,0.39
noxal,0,0.197,0.61,0.19
noyau,0,0.128,0.26,0.17
nubby,0,0.512,1.39,0.56
nubia,0,0.422,1.09,0.48
nucal,0,0.152,0.34,0.19
nucha,0,0.093,0.14,0.14
nucin,0,0.063,0.08,0.1
nudge,1,0.865,2.34,0.95
nullo,0,0.117,0.22,0.16
numda,0,0.052,0.07,0.08
numen,0,0.142,0.34,0.17
nummi,0,0.095,0.18,0.13
numud,0,0.045,0.06,0.07
nunch,0,0.297,0.79,0.33
nunky,0,0.353,0.8,0.44
nunni,0,0.172,0.43,0.2
nuque,0,0.097,0.22,0.12
nurly,0,0.058,0.05,0.1
nurse,1,0.972,2.89,0.98
nursy,0,0.52,1.14,0.66
nutty,1,0.918,2.6,0.97
nylon,1,0.837,2.2,0.94
nymil,0,0.062,0.1,0.09
nymph,1,0.582,1.36,0.71
nyxis,0,0.068,0.08,0.11
oadal,0,0.128,0.23,0.18
oaken,1,0.458,1.04,0.57
oakum,0,0.103,0.2,0.14
oared,0,0.237,0.52,0.3
oaric,0,0.075,0.12,0.11
oasal,0,0.05,0.06,0.08
oases,0,0.652,1.57,0.78
oasis,0,0.802,1.99,0.94
oaten,0,0.57,1.44,0.66
obeah,0,0.118,0.35,0.12
obese,1,0.853,2.24,0.96
obley,0,0.16,0.33,0.21
obole,0,0.067,0.1,0.1
occur,1,0.865,2.34,0.95
ocean,1,0.98,2.91,0.99
ocher,0,0.445,1.11,0.52
ochro,0,0.207,0.4,0.28
ocote,0,0.072,0.16,0.09
ocque,0,0.09,0.15,0.13
ocrea,0,0.102,0.19,0.14
octad,0,0.183,0.41,0.23
octal,1,0.408,0.98,0.49
octan,0,0.19,0.39,0.25
octet,1,0.453,1.07,0.55
octic,0,0.18,0.39,0.23
octyl,0,0.225,0.54,0.27
ocuby,0,0.103,0.2,0.14
odder,1,0.882,2.44,0.95
oddly,1,0.782,2.08,0.87
odeon,0,0.41,1.11,0.45
odeum,0,0.232,0.67,0.24
odist,0,0.115,0.24,0.15
odium,0,0.395,1.08,0.43
odoom,0,0.475,1.17,0.56
oecus,0,0.053,0.05,0.09
oenin,0,0.068,0.08,0.11
offal,1,0.452,1.24,0.49
offer,1,0.988,2.99,0.98
often,1,0.983,2.96,0.98
ofter,0,0.78,1.92,0.92
oftly,0,0.22,0.39,0.31
ogeed,0,0.103,0.17,0.15
ogham,0,0.1,0.15,0.15
ogive,0,0.217,0.58,0.24
ogler,0,0.425,1.17,0.46
ogmic,0,0.065,0.09,0.1
ohelo,0,0.093,0.17,0.13
ohmic,0,0.28,0.84,0.28
oiled,0,0.852,2.32,0.93
oiler,0,0.612,1.6,0.69
oisin,0,0.072,0.07,0.12
okapi,0,0.28,0.9,0.26
okrug,0,0.058,0.08,0.09
olden,1,0.677,1.57,0.83
older,1,0.968,2.87,0.98
oldie,0,0.783,2.0,0.9
oleic,0,0.163,0.44,0.18
olein,0,0.113,0.23,0.15
olena,0,0.143,0.29,0.19
olent,0,0.252,0.61,0.3
oliva,0,0.672,1.84,0.73
olive,1,0.895,2.46,0.97
ology,0,0.42,1.14,0.46
olona,0,0.07,0.12,0.1
omber,0,0.252,0.58,0.31
ombre,1,0.537,1.54,0.56
omega,1,0.73,1.8,0.86
omina,0,0.168,0.32,0.23
omlah,0,0.19,0.57,0.19
oncia,0,0.112,0.22,0.15
oncin,0,0.075,0.12,0.11
